"","Designated Qualified Opportunity Zones","","",""
"Alabama","Fayette","01057020300","Low-Income Community","2011-2015"
"Alabama","Franklin","01059973700","Low-Income Community","2011-2015"
"Alabama","Geneva","01061050300","Low-Income Community","2011-2015"
"Alabama","Greene","01063060200","Low-Income Community","2011-2015"
"Alabama","Hale","01065040400","Low-Income Community","2011-2015"
"Alabama","Henry","01067030200","Low-Income Community","2011-2015"
"Alabama","Houston","01069041500","Low-Income Community","2011-2015"
"Alabama","Jackson","01071950600","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073000100","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073000300","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073000400","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073000500","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073000700","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073000800","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073001200","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073001400","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073001500","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073001600","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073001902","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073002200","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073002303","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073002400","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073002700","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073002900","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073003001","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073003002","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073003200","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073003900","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073004200","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073004500","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073010200","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073011209","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073011705","Non-LIC Contiguous","2011-2015"
"Alabama","Jefferson","01073012002","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073012701","Low-Income Community","2011-2015"
"Alabama","Jefferson","01073013100","Low-Income Community","2011-2015"
"Alabama","Lamar","01075030100","Low-Income Community","2011-2015"
"Alabama","Lauderdale","01077010100","Low-Income Community","2011-2015"
"Alabama","Lauderdale","01077010900","Low-Income Community","2011-2015"
"Alabama","Lawrence","01079979100","Low-Income Community","2011-2015"
"Alabama","Lee","01081040200","Low-Income Community","2011-2015"
"Alabama","Lee","01081040300","Low-Income Community","2011-2015"
"Alabama","Lee","01081040604","Low-Income Community","2011-2015"
"Alabama","Lee","01081040700","Low-Income Community","2011-2015"
"Alabama","Lee","01081040800","Low-Income Community","2011-2015"
"Alabama","Lee","01081041100","Low-Income Community","2011-2015"
"Alabama","Lee","01081041300","Low-Income Community","2011-2015"
"Alabama","Limestone","01083020201","Low-Income Community","2011-2015"
"Alabama","Limestone","01083020600","Low-Income Community","2011-2015"
"Alabama","Limestone","01083020700","Low-Income Community","2011-2015"
"Alabama","Lowndes","01085780800","Low-Income Community","2011-2015"
"Alabama","Macon","01087231500","Low-Income Community","2011-2015"
"Alabama","Macon","01087231603","Low-Income Community","2011-2015"
"Alabama","Macon","01087232200","Low-Income Community","2011-2015"
"Alabama","Madison","01089000201","Low-Income Community","2011-2015"
"Alabama","Madison","01089000202","Low-Income Community","2011-2015"
"Alabama","Madison","01089001301","Low-Income Community","2011-2015"
"Alabama","Madison","01089001402","Low-Income Community","2011-2015"
"Alabama","Madison","01089001500","Low-Income Community","2011-2015"
"Alabama","Madison","01089002100","Low-Income Community","2011-2015"
"Alabama","Madison","01089002501","Low-Income Community","2011-2015"
"Alabama","Madison","01089003000","Low-Income Community","2011-2015"
"Alabama","Madison","01089003100","Low-Income Community","2011-2015"
"Alabama","Madison","01089010622","Low-Income Community","2011-2015"
"Alabama","Marengo","01091972900","Low-Income Community","2011-2015"
"Alabama","Marion","01093964400","Low-Income Community","2011-2015"
"Alabama","Marion","01093964500","Non-LIC Contiguous","2011-2015"
"Alabama","Marshall","01095030100","Low-Income Community","2011-2015"
"Alabama","Mobile","01097000200","Low-Income Community","2011-2015"
"Alabama","Mobile","01097000401","Low-Income Community","2011-2015"
"Alabama","Mobile","01097000600","Low-Income Community","2011-2015"
"Alabama","Mobile","01097001002","Low-Income Community","2011-2015"
"Alabama","Mobile","01097001200","Low-Income Community","2011-2015"
"Alabama","Mobile","01097001302","Low-Income Community","2011-2015"
"Alabama","Mobile","01097001400","Low-Income Community","2011-2015"
"Alabama","Mobile","01097001501","Low-Income Community","2011-2015"
"Alabama","Mobile","01097001502","Low-Income Community","2011-2015"
"Alabama","Mobile","01097002600","Low-Income Community","2011-2015"
"Alabama","Mobile","01097002800","Low-Income Community","2011-2015"
"Alabama","Mobile","01097003402","Low-Income Community","2011-2015"
"Alabama","Mobile","01097006403","Low-Income Community","2011-2015"
"Alabama","Mobile","01097007400","Low-Income Community","2011-2015"
"Alabama","Monroe","01099076000","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101000100","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101000200","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101000300","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101000500","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101000600","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101001000","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101001100","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101002100","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101002900","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101005603","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101005902","Low-Income Community","2011-2015"
"Alabama","Montgomery","01101006000","Low-Income Community","2011-2015"
"Alabama","Morgan","01103000100","Low-Income Community","2011-2015"
"Alabama","Perry","01105687000","Low-Income Community","2011-2015"
"Alabama","Pickens","01107050100","Low-Income Community","2011-2015"
"Alabama","Pike","01109189100","Low-Income Community","2011-2015"
"Alabama","Randolph","01111000500","Low-Income Community","2011-2015"
"Alabama","Russell","01113030200","Low-Income Community","2011-2015"
"Alabama","St. Clair","01115040203","Low-Income Community","2011-2015"
"Alabama","Shelby","01117030703","Low-Income Community","2011-2015"
"Alabama","Sumter","01119011300","Low-Income Community","2011-2015"
"Alabama","Talladega","01121010900","Low-Income Community","2011-2015"
"Alabama","Tallapoosa","01123962300","Low-Income Community","2011-2015"
"Alabama","Tuscaloosa","01125010403","Low-Income Community","2011-2015"
"Alabama","Tuscaloosa","01125010404","Low-Income Community","2011-2015"
"Alabama","Tuscaloosa","01125011600","Low-Income Community","2011-2015"
"Alabama","Tuscaloosa","01125011701","Low-Income Community","2011-2015"
"Alabama","Tuscaloosa","01125011800","Low-Income Community","2011-2015"
"Alabama","Tuscaloosa","01125012100","Low-Income Community","2011-2015"
"Alabama","Tuscaloosa","01125012303","Non-LIC Contiguous","2011-2015"
"Alabama","Tuscaloosa","01125012405","Low-Income Community","2011-2015"
"Alabama","Tuscaloosa","01125012600","Low-Income Community","2011-2015"
"Alabama","Tuscaloosa","01125012800","Low-Income Community","2011-2015"
"Alabama","Walker","01127020400","Low-Income Community","2011-2015"
"Alabama","Washington","01129044200","Low-Income Community","2011-2015"
"Alabama","Wilcox","01131035100","Low-Income Community","2011-2015"
"Alabama","Winston","01133965700","Low-Income Community","2011-2015"
"Alaska","Aleutians East","02013000100","Low-Income Community","2011-2015"
"Alaska","Aleutians West","02016000100","Low-Income Community","2011-2015"
"Alaska","Anchorage","02020000300","Low-Income Community","2011-2015"
"Alaska","Anchorage","02020000600","Low-Income Community","2011-2015"
"Alaska","Anchorage","02020000702","Low-Income Community","2011-2015"
"Alaska","Anchorage","02020000703","Low-Income Community","2011-2015"
"Alaska","Anchorage","02020001000","Low-Income Community","2011-2015"
"Alaska","Anchorage","02020001900","Low-Income Community","2011-2015"
"Alaska","Anchorage","02020002000","Low-Income Community","2011-2015"
"Alaska","Bethel","02050000300","Low-Income Community","2011-2015"
"Alaska","Fairbanks North Star","02090000100","Low-Income Community","2011-2015"
"Alaska","Fairbanks North Star","02090000200","Low-Income Community","2011-2015"
"Alaska","Fairbanks North Star","02090001100","Low-Income Community","2011-2015"
"Alaska","Haines","02100000100","Low-Income Community","2012-2016"
"Alaska","Hoonah-Angoon","02105000300","Low-Income Community","2011-2015"
"Alaska","Kenai Peninsula","02122000100","Low-Income Community","2011-2015"
"Alaska","Matanuska-Susitna","02170000401","Low-Income Community","2011-2015"
"Alaska","Matanuska-Susitna","02170000701","Low-Income Community","2012-2016"
"Alaska","Nome","02180000100","Low-Income Community","2011-2015"
"Alaska","North Slope","02185000200","Low-Income Community","2011-2015"
"Alaska","Northwest Arctic","02188000100","Low-Income Community","2011-2015"
"Alaska","Prince of Wales-Hyder","02198000100","Low-Income Community","2011-2015"
"Alaska","Prince of Wales-Hyder","02198940100","Low-Income Community","2011-2015"
"Alaska","Wrangell","02275000300","Low-Income Community","2011-2015"
"Alaska","Yukon-Koyukuk","02290000200","Low-Income Community","2011-2015"
"American Samoa","Eastern","60010950100","Low-Income Community","2011-2015"
"American Samoa","Eastern","60010950200","Low-Income Community","2011-2015"
"American Samoa","Eastern","60010950300","Low-Income Community","2011-2015"
"American Samoa","Eastern","60010950500","Low-Income Community","2011-2015"
"American Samoa","Eastern","60010950600","Low-Income Community","2011-2015"
"American Samoa","Eastern","60010950700","Low-Income Community","2011-2015"
"American Samoa","Eastern","60010950900","Low-Income Community","2011-2015"
"American Samoa","Manu'a ","60020951800","Low-Income Community","2011-2015"
"American Samoa","Western ","60050951000","Low-Income Community","2011-2015"
"American Samoa","Western ","60050951100","Low-Income Community","2011-2015"
"American Samoa","Western ","60050951201","Low-Income Community","2011-2015"
"American Samoa","Western ","60050951202","Low-Income Community","2011-2015"
"American Samoa","Western ","60050951203","Low-Income Community","2011-2015"
"American Samoa","Western ","60050951300","Low-Income Community","2011-2015"
"American Samoa","Western ","60050951500","Low-Income Community","2011-2015"
"American Samoa","Western ","60050951600","Low-Income Community","2011-2015"
"Arizona","Apache","04001945100","Low-Income Community","2011-2015"
"Arizona","Apache","04001970200","Low-Income Community","2011-2015"
"Arizona","Apache","04001970502","Non-LIC Contiguous","2011-2015"
"Arizona","Cochise","04003000301","Low-Income Community","2011-2015"
"Arizona","Cochise","04003000600","Low-Income Community","2011-2015"
"Arizona","Cochise","04003001100","Low-Income Community","2011-2015"
"Arizona","Cochise","04003001702","Low-Income Community","2011-2015"
"Arizona","Coconino","04005000900","Low-Income Community","2011-2015"
"Arizona","Coconino","04005002200","Non-LIC Contiguous","2011-2015"
"Arizona","Coconino","04005002300","Low-Income Community","2011-2015"
"Arizona","Coconino","04005942202","Low-Income Community","2011-2015"
"Arizona","Coconino","04005945000","Low-Income Community","2011-2015"
"Arizona","Coconino","04005945100","Low-Income Community","2011-2015"
"Arizona","Coconino","04005945200","Low-Income Community","2011-2015"
"Arizona","Gila","04007000900","Low-Income Community","2011-2015"
"Arizona","Gila","04007001100","Low-Income Community","2012-2016"
"Arizona","Gila","04007940400","Low-Income Community","2011-2015"
"Arizona","Graham","04009961201","Low-Income Community","2011-2015"
"Arizona","Greenlee","04011960100","Non-LIC Contiguous","2011-2015"
"Arizona","Greenlee","04011960300","Low-Income Community","2011-2015"
"Arizona","La Paz","04012020100","Low-Income Community","2011-2015"
"Arizona","La Paz","04012940300","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013040502","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013050604","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013050607","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013050609","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013060801","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013060902","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013061024","Non-LIC Contiguous","2011-2015"
"Arizona","Maricopa","04013061200","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013061300","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013071910","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013071913","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013082024","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013082208","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013092401","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013092500","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013092600","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013092900","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013093001","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013093104","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013103210","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013104205","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013104401","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013104402","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013105501","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013105502","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013105503","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013106003","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013106802","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013107201","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013107300","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013107400","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013108902","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013109002","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013109003","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013109200","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013109300","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013110100","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013111700","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013112100","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013112509","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013112512","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013112513","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013113100","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013113203","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013113300","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013113801","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013113900","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013114000","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013114100","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013114200","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013114800","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013114900","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013115200","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013115300","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013115400","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013115801","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013116500","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013116900","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013117200","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013117300","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013217201","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013218000","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013318400","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013318800","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013319104","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013319202","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013319705","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013420206","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013421302","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013421303","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013421304","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013421400","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013421501","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013421502","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013422203","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013422401","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013422641","Non-LIC Contiguous","2011-2015"
"Arizona","Maricopa","04013522800","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013523102","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013523104","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013614700","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013723305","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013817600","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013941100","Low-Income Community","2011-2015"
"Arizona","Maricopa","04013941300","Low-Income Community","2011-2015"
"Arizona","Mohave","04015940400","Low-Income Community","2011-2015"
"Arizona","Mohave","04015951602","Low-Income Community","2011-2015"
"Arizona","Mohave","04015951900","Low-Income Community","2011-2015"
"Arizona","Mohave","04015952400","Low-Income Community","2011-2015"
"Arizona","Mohave","04015953900","Non-LIC Contiguous","2011-2015"
"Arizona","Mohave","04015954800","Low-Income Community","2011-2015"
"Arizona","Mohave","04015955000","Low-Income Community","2011-2015"
"Arizona","Navajo","04017960500","Low-Income Community","2011-2015"
"Arizona","Navajo","04017963300","Low-Income Community","2011-2015"
"Arizona","Navajo","04017965300","Low-Income Community","2011-2015"
"Arizona","Pima","04019000100","Low-Income Community","2011-2015"
"Arizona","Pima","04019000200","Low-Income Community","2011-2015"
"Arizona","Pima","04019000300","Low-Income Community","2011-2015"
"Arizona","Pima","04019000400","Low-Income Community","2011-2015"
"Arizona","Pima","04019000800","Low-Income Community","2011-2015"
"Arizona","Pima","04019001200","Low-Income Community","2011-2015"
"Arizona","Pima","04019001302","Low-Income Community","2011-2015"
"Arizona","Pima","04019001303","Low-Income Community","2011-2015"
"Arizona","Pima","04019001801","Low-Income Community","2011-2015"
"Arizona","Pima","04019002201","Low-Income Community","2011-2015"
"Arizona","Pima","04019002202","Low-Income Community","2011-2015"
"Arizona","Pima","04019002300","Low-Income Community","2011-2015"
"Arizona","Pima","04019002501","Low-Income Community","2011-2015"
"Arizona","Pima","04019002901","Low-Income Community","2011-2015"
"Arizona","Pima","04019003501","Low-Income Community","2011-2015"
"Arizona","Pima","04019003802","Low-Income Community","2011-2015"
"Arizona","Pima","04019004011","Low-Income Community","2011-2015"
"Arizona","Pima","04019004067","Low-Income Community","2011-2015"
"Arizona","Pima","04019004112","Low-Income Community","2011-2015"
"Arizona","Pima","04019004115","Low-Income Community","2011-2015"
"Arizona","Pima","04019004116","Low-Income Community","2011-2015"
"Arizona","Pima","04019004117","Low-Income Community","2011-2015"
"Arizona","Pima","04019004122","Low-Income Community","2011-2015"
"Arizona","Pima","04019004504","Low-Income Community","2011-2015"
"Arizona","Pima","04019004613","Low-Income Community","2011-2015"
"Arizona","Pima","04019410502","Non-LIC Contiguous","2011-2015"
"Arizona","Pima","04019940900","Low-Income Community","2011-2015"
"Arizona","Pima","04019941000","Low-Income Community","2011-2015"
"Arizona","Pinal","04021000310","Low-Income Community","2011-2015"
"Arizona","Pinal","04021000400","Low-Income Community","2012-2016"
"Arizona","Pinal","04021000700","Low-Income Community","2011-2015"
"Arizona","Pinal","04021000901","Low-Income Community","2011-2015"
"Arizona","Pinal","04021001000","Low-Income Community","2011-2015"
"Arizona","Pinal","04021001500","Low-Income Community","2011-2015"
"Arizona","Pinal","04021001900","Low-Income Community","2011-2015"
"Arizona","Pinal","04021002103","Low-Income Community","2011-2015"
"Arizona","Pinal","04021002300","Non-LIC Contiguous","2011-2015"
"Arizona","Santa Cruz","04023966302","Low-Income Community","2011-2015"
"Arizona","Santa Cruz","04023966402","Low-Income Community","2011-2015"
"Arizona","Yavapai","04025000606","Low-Income Community","2011-2015"
"Arizona","Yavapai","04025000900","Low-Income Community","2011-2015"
"Arizona","Yavapai","04025001601","Low-Income Community","2011-2015"
"Arizona","Yavapai","04025002100","Low-Income Community","2011-2015"
"Arizona","Yuma","04027000100","Low-Income Community","2011-2015"
"Arizona","Yuma","04027000700","Low-Income Community","2011-2015"
"Arizona","Yuma","04027010913","Low-Income Community","2011-2015"
"Arizona","Yuma","04027011202","Low-Income Community","2011-2015"
"Arizona","Yuma","04027011403","Low-Income Community","2011-2015"
"Arizona","Yuma","04027011501","Low-Income Community","2011-2015"
"Arizona","Yuma","04027011600","Low-Income Community","2011-2015"
"Arizona","Yuma","04027012100","Low-Income Community","2011-2015"
"Arkansas","Arkansas","05001480400","Low-Income Community","2011-2015"
"Arkansas","Ashley","05003960600","Low-Income Community","2011-2015"
"Arkansas","Benton","05007020301","Low-Income Community","2011-2015"
"Arkansas","Benton","05007021101","Low-Income Community","2011-2015"
"Arkansas","Boone","05009790501","Low-Income Community","2011-2015"
"Arkansas","Bradley","05011950300","Low-Income Community","2011-2015"
"Arkansas","Carroll","05015950300","Low-Income Community","2011-2015"
"Arkansas","Chicot","05017080300","Low-Income Community","2011-2015"
"Arkansas","Clark","05019953900","Low-Income Community","2011-2015"
"Arkansas","Cleburne","05023480300","Low-Income Community","2011-2015"
"Arkansas","Columbia","05027950200","Low-Income Community","2011-2015"
"Arkansas","Conway","05029950300","Low-Income Community","2011-2015"
"Arkansas","Craighead","05031000101","Low-Income Community","2011-2015"
"Arkansas","Craighead","05031000502","Low-Income Community","2011-2015"
"Arkansas","Craighead","05031000602","Low-Income Community","2011-2015"
"Arkansas","Crawford","05033020501","Low-Income Community","2011-2015"
"Arkansas","Crittenden","05035030600","Low-Income Community","2011-2015"
"Arkansas","Crittenden","05035030703","Low-Income Community","2011-2015"
"Arkansas","Dallas","05039970300","Low-Income Community","2011-2015"
"Arkansas","Desha","05041950100","Low-Income Community","2011-2015"
"Arkansas","Desha","05041950200","Low-Income Community","2011-2015"
"Arkansas","Drew","05043490300","Low-Income Community","2011-2015"
"Arkansas","Drew","05043490400","Low-Income Community","2011-2015"
"Arkansas","Faulkner","05045030403","Low-Income Community","2011-2015"
"Arkansas","Faulkner","05045030702","Low-Income Community","2011-2015"
"Arkansas","Faulkner","05045030900","Low-Income Community","2011-2015"
"Arkansas","Franklin","05047950200","Low-Income Community","2011-2015"
"Arkansas","Garland","05051010700","Low-Income Community","2011-2015"
"Arkansas","Garland","05051010800","Low-Income Community","2011-2015"
"Arkansas","Garland","05051011500","Low-Income Community","2011-2015"
"Arkansas","Grant","05053470300","Low-Income Community","2011-2015"
"Arkansas","Greene","05055480500","Low-Income Community","2011-2015"
"Arkansas","Greene","05055480700","Low-Income Community","2011-2015"
"Arkansas","Hempstead","05057480300","Low-Income Community","2011-2015"
"Arkansas","Hot Spring","05059020200","Low-Income Community","2011-2015"
"Arkansas","Howard","05061950300","Low-Income Community","2011-2015"
"Arkansas","Independence","05063490200","Low-Income Community","2011-2015"
"Arkansas","Independence","05063490600","Low-Income Community","2011-2015"
"Arkansas","Jackson","05067480400","Low-Income Community","2011-2015"
"Arkansas","Jefferson","05069000502","Low-Income Community","2011-2015"
"Arkansas","Jefferson","05069001000","Low-Income Community","2011-2015"
"Arkansas","Jefferson","05069002400","Non-LIC Contiguous","2011-2015"
"Arkansas","Jefferson","05069002500","Low-Income Community","2011-2015"
"Arkansas","Johnson","05071952000","Low-Income Community","2011-2015"
"Arkansas","Lafayette","05073470100","Low-Income Community","2011-2015"
"Arkansas","Lawrence","05075470100","Low-Income Community","2011-2015"
"Arkansas","Little River","05081030102","Low-Income Community","2011-2015"
"Arkansas","Logan","05083950500","Low-Income Community","2011-2015"
"Arkansas","Marion","05089960202","Low-Income Community","2011-2015"
"Arkansas","Miller","05091020500","Low-Income Community","2011-2015"
"Arkansas","Mississippi","05093010700","Non-LIC Contiguous","2011-2015"
"Arkansas","Mississippi","05093010800","Low-Income Community","2011-2015"
"Arkansas","Mississippi","05093011100","Low-Income Community","2011-2015"
"Arkansas","Nevada","05099090200","Low-Income Community","2011-2015"
"Arkansas","Ouachita","05103950200","Low-Income Community","2011-2015"
"Arkansas","Ouachita","05103950600","Low-Income Community","2011-2015"
"Arkansas","Phillips","05107480400","Low-Income Community","2011-2015"
"Arkansas","Phillips","05107480600","Low-Income Community","2011-2015"
"Arkansas","Polk","05113950400","Low-Income Community","2011-2015"
"Arkansas","Pope","05115951300","Low-Income Community","2011-2015"
"Arkansas","Pope","05115951600","Low-Income Community","2011-2015"
"Arkansas","Pulaski","05119000200","Low-Income Community","2011-2015"
"Arkansas","Pulaski","05119001800","Low-Income Community","2011-2015"
"Arkansas","Pulaski","05119002500","Low-Income Community","2011-2015"
"Arkansas","Pulaski","05119002800","Low-Income Community","2011-2015"
"Arkansas","Pulaski","05119003001","Low-Income Community","2011-2015"
"Arkansas","Pulaski","05119003605","Low-Income Community","2011-2015"
